window_name,window_min_time_min,window_max_time_min,tracer_name,tracer_label,condition_name,condition_label,sample_id,run_display,roi_folder,metric_name,metric_label,timepoint_count,mean,std,median,iqr,min,max
post_5min,5.0,,GAD,GAD,pump_off,Pump off,GAD_OFF_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_1,GAD,center_of_mass_depth,Center-of-Mass Depth,120,0.253779396460128,0.02282373504988762,0.2525406692916431,0.03908876077767376,0.20854341326124914,0.29090540190911596
post_5min,5.0,,GAD,GAD,pump_off,Pump off,GAD_OFF_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_1,GAD,deep_tail_fraction,Deep-Tail Fraction,120,0.06794086680981982,0.013087317084476116,0.06501122574576455,0.021272619444927983,0.03828179336779922,0.09315449988530003
post_5min,5.0,,GAD,GAD,pump_off,Pump off,GAD_OFF_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_2,GAD,center_of_mass_depth,Center-of-Mass Depth,120,0.2628534277103099,0.023432145539083765,0.2649704988860496,0.04106101924444022,0.2197620553925542,0.301146656611538
post_5min,5.0,,GAD,GAD,pump_off,Pump off,GAD_OFF_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_2,GAD,deep_tail_fraction,Deep-Tail Fraction,120,0.07218992006555137,0.014575219708286772,0.0713002927653193,0.024505138059475136,0.04792768453654027,0.09886926112912073
post_5min,5.0,,GAD,GAD,pump_off,Pump off,GAD_OFF_03,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_3,GAD,center_of_mass_depth,Center-of-Mass Depth,120,0.23627409770026553,0.028921724278083476,0.23751552323630507,0.050844798398855,0.1809184403686303,0.2864179098435023
post_5min,5.0,,GAD,GAD,pump_off,Pump off,GAD_OFF_03,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_3,GAD,deep_tail_fraction,Deep-Tail Fraction,120,0.041696253525508806,0.016194162381976757,0.03833925174994701,0.02823604864751662,0.015758525053145376,0.07787120760574241
post_5min,5.0,,GAD,GAD,pump_on,Pump on,GAD_ON_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\GAD_Pump_Run_1,GAD_PUMP,center_of_mass_depth,Center-of-Mass Depth,120,0.22317990392315643,0.02805670784375949,0.22568526689649743,0.05235878788907947,0.1673096050366691,0.2650477880058252
post_5min,5.0,,GAD,GAD,pump_on,Pump on,GAD_ON_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\GAD_Pump_Run_1,GAD_PUMP,deep_tail_fraction,Deep-Tail Fraction,120,0.03506740582599495,0.014268059582471486,0.034918106861432235,0.026056902715868566,0.010847834463386758,0.06304355014627754
post_5min,5.0,,GAD,GAD,pump_on,Pump on,GAD_ON_03,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\GAD_Pump_Run_3,GAD_PUMP,center_of_mass_depth,Center-of-Mass Depth,120,0.24676067852435993,0.021446060593040706,0.24783541929703634,0.03610199861015656,0.20946025291964313,0.2847229916358343
post_5min,5.0,,GAD,GAD,pump_on,Pump on,GAD_ON_03,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\GAD_Pump_Run_3,GAD_PUMP,deep_tail_fraction,Deep-Tail Fraction,120,0.06020225567101524,0.01255070266404613,0.05815851812433531,0.018416631100952666,0.03930104689148728,0.0889138489894337
post_5min,5.0,,GAD,GAD,pump_on,Pump on,GAD_ON_04,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\GAD_Pump_Run_4,GAD_PUMP,center_of_mass_depth,Center-of-Mass Depth,120,0.24945284910145082,0.023382139897487813,0.252295841161456,0.03970838487916725,0.19852484695347794,0.2888156008781307
post_5min,5.0,,GAD,GAD,pump_on,Pump on,GAD_ON_04,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\GAD_Pump_Run_4,GAD_PUMP,deep_tail_fraction,Deep-Tail Fraction,120,0.06605548761118446,0.011633749461968447,0.0651433557281686,0.01757417782262638,0.04294260476023937,0.08953338239365978
