window_name,window_min_time_min,window_max_time_min,metric_name,metric_label,condition_a,condition_b,mean_a,mean_b,mean_diff_a_minus_b,relative_change_b_vs_a_percent,cohens_d_a_minus_b,hedges_g_a_minus_b,p_value,significant,note
0_to_5min,0.0,5.0,center_of_mass_depth,Center-of-Mass Depth,pump_off,pump_on,0.12424831693650373,0.13125099753393596,-0.007002680597432226,5.636036583908737,-0.2247280902044932,-0.17978247216359455,0.8030416831081219,False,
0_to_5min,0.0,5.0,deep_tail_fraction,Deep-Tail Fraction,pump_off,pump_on,0.006268482260451643,0.016207448364900238,-0.009938966104448596,158.55458612612387,-0.5997554141730127,-0.47980433133841016,0.5184283480987496,False,
0_to_5min,0.0,5.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_off,pump_on,0.3004268655103474,0.29605014318906364,0.004376722321283777,-1.4568345323740803,0.1153142624890342,0.09225140999122737,0.8978968363298763,False,
10_to_20min,10.0,20.0,center_of_mass_depth,Center-of-Mass Depth,pump_off,pump_on,0.17764506412709472,0.1736961415991314,0.0039489225279633056,-2.2229283697621236,0.17226478617432134,0.13781182893945707,0.8457661310597057,False,
10_to_20min,10.0,20.0,deep_tail_fraction,Deep-Tail Fraction,pump_off,pump_on,0.013440215845595073,0.017025037014756845,-0.0035848211691617716,26.67234819994851,-0.2049344889476112,-0.163947591158089,0.8151814402357113,False,
10_to_20min,10.0,20.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_off,pump_on,0.4562255723059743,0.4335287548855388,0.0226968174204355,-4.974911271570185,0.5663110380649666,0.4530488304519733,0.5438904972232734,False,
20_to_25min,20.0,25.0,center_of_mass_depth,Center-of-Mass Depth,pump_off,pump_on,0.20476871941711913,0.196820107060988,0.007948612356131146,-3.8817512649183588,0.37709646171792227,0.30167716937433786,0.6719826008539587,False,
20_to_25min,20.0,25.0,deep_tail_fraction,Deep-Tail Fraction,pump_off,pump_on,0.02412778430658027,0.023299672860813855,0.0008281114457664163,-3.4321901888876254,0.040402953637971736,0.03232236291037739,0.9629296695019803,False,
20_to_25min,20.0,25.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_off,pump_on,0.5291457286432161,0.5018983807928532,0.02724734785036287,-5.1493088530125455,0.6568830432592976,0.5255064346074381,0.4866175637063492,False,
5_to_10min,5.0,10.0,center_of_mass_depth,Center-of-Mass Depth,pump_off,pump_on,0.1471534691055498,0.14697241260701546,0.0001810564985343377,-0.12303923219402325,0.007180124101308616,0.005744099281046893,0.9935547679420571,False,
5_to_10min,5.0,10.0,deep_tail_fraction,Deep-Tail Fraction,pump_off,pump_on,0.0070284950318031695,0.012949206435808583,-0.005920711404005414,84.23867950699038,-0.4274490283523783,-0.34195922268190265,0.6338001767955593,False,
5_to_10min,5.0,10.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_off,pump_on,0.37286432160804023,0.3571747627024009,0.015689558905639334,-4.207846660676856,0.4128622437595698,0.3302897950076559,0.6516724611759184,False,
post_5min,5.0,,center_of_mass_depth,Center-of-Mass Depth,pump_off,pump_on,0.1768030791942146,0.17279620071656657,0.004006878477648024,-2.2662945102028167,0.1743019464085976,0.13944155712687809,0.8440457060704922,False,
post_5min,5.0,,deep_tail_fraction,Deep-Tail Fraction,pump_off,pump_on,0.014509177757393396,0.017574738331534032,-0.0030655605741406362,21.12842385281639,-0.17785073007733113,-0.14228058406186492,0.8390209650384712,False,
post_5min,5.0,,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_off,pump_on,0.45361529871580125,0.43153266331658297,0.022082635399218287,-4.868141674616113,0.5549053939148458,0.4439243151318767,0.5512279425338159,False,
