window_name,window_min_time_min,window_max_time_min,metric_name,metric_label,condition_name,condition_label,n_samples,mean_of_sample_means,std_of_sample_means,sem_of_sample_means,median_of_sample_means,iqr_of_sample_means,min_of_sample_means,max_of_sample_means
0_to_5min,0.0,5.0,center_of_mass_depth,Center-of-Mass Depth,pump_off,Pump off,1,0.1407464545063503,,,0.1407464545063503,0.0,0.1407464545063503,0.1407464545063503
0_to_5min,0.0,5.0,center_of_mass_depth,Center-of-Mass Depth,pump_on,Pump on,1,0.17822913447227004,,,0.17822913447227004,0.0,0.17822913447227004,0.17822913447227004
0_to_5min,0.0,5.0,deep_tail_fraction,Deep-Tail Fraction,pump_off,Pump off,1,0.017794915981083147,,,0.017794915981083147,0.0,0.017794915981083147,0.017794915981083147
0_to_5min,0.0,5.0,deep_tail_fraction,Deep-Tail Fraction,pump_on,Pump on,1,0.04023877224877713,,,0.04023877224877713,0.0,0.04023877224877713,0.04023877224877713
0_to_5min,0.0,5.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_off,Pump off,1,0.3053979575295833,,,0.3053979575295833,0.0,0.3053979575295833,0.3053979575295833
0_to_5min,0.0,5.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_on,Pump on,1,0.3520829956232778,,,0.3520829956232778,0.0,0.3520829956232778,0.3520829956232778
10_to_20min,10.0,20.0,center_of_mass_depth,Center-of-Mass Depth,pump_off,Pump off,1,0.19066103217466843,,,0.19066103217466843,0.0,0.19066103217466843,0.19066103217466843
10_to_20min,10.0,20.0,center_of_mass_depth,Center-of-Mass Depth,pump_on,Pump on,1,0.2058834763000218,,,0.2058834763000218,0.0,0.2058834763000218,0.2058834763000218
10_to_20min,10.0,20.0,deep_tail_fraction,Deep-Tail Fraction,pump_off,Pump off,1,0.02966033140765822,,,0.02966033140765822,0.0,0.02966033140765822,0.02966033140765822
10_to_20min,10.0,20.0,deep_tail_fraction,Deep-Tail Fraction,pump_on,Pump on,1,0.03957964645654257,,,0.03957964645654257,0.0,0.03957964645654257,0.03957964645654257
10_to_20min,10.0,20.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_off,Pump off,1,0.45452261306532665,,,0.45452261306532665,0.0,0.45452261306532665,0.45452261306532665
10_to_20min,10.0,20.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_on,Pump on,1,0.4829145728643217,,,0.4829145728643217,0.0,0.4829145728643217,0.4829145728643217
20_to_25min,20.0,25.0,center_of_mass_depth,Center-of-Mass Depth,pump_off,Pump off,1,0.21352744388202433,,,0.21352744388202433,0.0,0.21352744388202433,0.21352744388202433
20_to_25min,20.0,25.0,center_of_mass_depth,Center-of-Mass Depth,pump_on,Pump on,1,0.22141305084389276,,,0.22141305084389276,0.0,0.22141305084389276,0.22141305084389276
20_to_25min,20.0,25.0,deep_tail_fraction,Deep-Tail Fraction,pump_off,Pump off,1,0.042192117316809975,,,0.042192117316809975,0.0,0.042192117316809975,0.042192117316809975
20_to_25min,20.0,25.0,deep_tail_fraction,Deep-Tail Fraction,pump_on,Pump on,1,0.04503565563040923,,,0.04503565563040923,0.0,0.04503565563040923,0.04503565563040923
20_to_25min,20.0,25.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_off,Pump off,1,0.5140407921962754,,,0.5140407921962754,0.0,0.5140407921962754,0.5140407921962754
20_to_25min,20.0,25.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_on,Pump on,1,0.540348802837718,,,0.540348802837718,0.0,0.540348802837718,0.540348802837718
5_to_10min,5.0,10.0,center_of_mass_depth,Center-of-Mass Depth,pump_off,Pump off,1,0.16042984682255035,,,0.16042984682255035,0.0,0.16042984682255035,0.16042984682255035
5_to_10min,5.0,10.0,center_of_mass_depth,Center-of-Mass Depth,pump_on,Pump on,1,0.1838786087002715,,,0.1838786087002715,0.0,0.1838786087002715,0.1838786087002715
5_to_10min,5.0,10.0,deep_tail_fraction,Deep-Tail Fraction,pump_off,Pump off,1,0.01868038920976544,,,0.01868038920976544,0.0,0.01868038920976544,0.01868038920976544
5_to_10min,5.0,10.0,deep_tail_fraction,Deep-Tail Fraction,pump_on,Pump on,1,0.0319357050658275,,,0.0319357050658275,0.0,0.0319357050658275,0.0319357050658275
5_to_10min,5.0,10.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_off,Pump off,1,0.3753768844221106,,,0.3753768844221106,0.0,0.3753768844221106,0.3753768844221106
5_to_10min,5.0,10.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_on,Pump on,1,0.408040201005025,,,0.408040201005025,0.0,0.408040201005025,0.408040201005025
post_5min,5.0,,center_of_mass_depth,Center-of-Mass Depth,pump_off,Pump off,1,0.18581798019767318,,,0.18581798019767318,0.0,0.18581798019767318,0.18581798019767318
post_5min,5.0,,center_of_mass_depth,Center-of-Mass Depth,pump_on,Pump on,1,0.20218120283509936,,,0.20218120283509936,0.0,0.20218120283509936,0.20218120283509936
post_5min,5.0,,deep_tail_fraction,Deep-Tail Fraction,pump_off,Pump off,1,0.028572874347086226,,,0.028572874347086226,0.0,0.028572874347086226,0.028572874347086226
post_5min,5.0,,deep_tail_fraction,Deep-Tail Fraction,pump_on,Pump on,1,0.03830332789798445,,,0.03830332789798445,0.0,0.03830332789798445,0.03830332789798445
post_5min,5.0,,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_off,Pump off,1,0.44178838115812713,,,0.44178838115812713,0.0,0.44178838115812713,0.44178838115812713
post_5min,5.0,,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_on,Pump on,1,0.47104682289954447,,,0.47104682289954447,0.0,0.47104682289954447,0.47104682289954447
