window_name,window_min_time_min,window_max_time_min,tracer_name,tracer_label,condition_name,condition_label,sample_id,run_display,roi_folder,metric_name,metric_label,timepoint_count,mean,std,median,iqr,min,max
0_to_5min,0.0,5.0,VIS320,VIS320,pump_off,Pump off,VIS_OFF_LEGACY,C:\Users\brend\OneDrive - University of Toronto\VS Code Files\Results\Results_Paper_1\VIS320_Swollen_No_Pressure_135kvp,VIS_320,center_of_mass_depth,Center-of-Mass Depth,31,0.1407464545063503,0.006101156230174252,0.14186657604226777,0.00985091726438278,0.1303210075543401,0.15037489892354733
0_to_5min,0.0,5.0,VIS320,VIS320,pump_off,Pump off,VIS_OFF_LEGACY,C:\Users\brend\OneDrive - University of Toronto\VS Code Files\Results\Results_Paper_1\VIS320_Swollen_No_Pressure_135kvp,VIS_320,deep_tail_fraction,Deep-Tail Fraction,31,0.017794915981083147,0.0036822471435553677,0.017481496270205652,0.005650506325072555,0.012550709351193314,0.025149514261729285
0_to_5min,0.0,5.0,VIS320,VIS320,pump_off,Pump off,VIS_OFF_LEGACY,C:\Users\brend\OneDrive - University of Toronto\VS Code Files\Results\Results_Paper_1\VIS320_Swollen_No_Pressure_135kvp,VIS_320,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,31,0.3053979575295833,0.02405454653333989,0.3065326633165829,0.03768844221105527,0.2663316582914573,0.34673366834170855
0_to_5min,0.0,5.0,VIS320,VIS320,pump_on,Pump on,VIS_ON_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\VIS320_Pump_Run_2,VIS_PUMP,center_of_mass_depth,Center-of-Mass Depth,31,0.17822913447227004,0.004710209941004,0.17735279275792115,0.006243852499979108,0.17106231390910498,0.1910854163665977
0_to_5min,0.0,5.0,VIS320,VIS320,pump_on,Pump on,VIS_ON_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\VIS320_Pump_Run_2,VIS_PUMP,deep_tail_fraction,Deep-Tail Fraction,31,0.04023877224877713,0.007004235724302521,0.03899288744486794,0.009176994257444934,0.02697463812921492,0.05446858229994322
0_to_5min,0.0,5.0,VIS320,VIS320,pump_on,Pump on,VIS_ON_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\VIS320_Pump_Run_2,VIS_PUMP,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,31,0.3520829956232778,0.01866460388852323,0.34673366834170855,0.02010050251256279,0.3165829145728643,0.3869346733668342
5_to_10min,5.0,10.0,VIS320,VIS320,pump_off,Pump off,VIS_OFF_LEGACY,C:\Users\brend\OneDrive - University of Toronto\VS Code Files\Results\Results_Paper_1\VIS320_Swollen_No_Pressure_135kvp,VIS_320,center_of_mass_depth,Center-of-Mass Depth,30,0.16042984682255035,0.006683016325165972,0.1612453555706751,0.011589216097448674,0.14996112030252756,0.17368341691327296
5_to_10min,5.0,10.0,VIS320,VIS320,pump_off,Pump off,VIS_OFF_LEGACY,C:\Users\brend\OneDrive - University of Toronto\VS Code Files\Results\Results_Paper_1\VIS320_Swollen_No_Pressure_135kvp,VIS_320,deep_tail_fraction,Deep-Tail Fraction,30,0.01868038920976544,0.002911064033784515,0.019345689697798457,0.0041360905514412,0.012352382562041403,0.02365764886725787
5_to_10min,5.0,10.0,VIS320,VIS320,pump_off,Pump off,VIS_OFF_LEGACY,C:\Users\brend\OneDrive - University of Toronto\VS Code Files\Results\Results_Paper_1\VIS320_Swollen_No_Pressure_135kvp,VIS_320,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,30,0.3753768844221106,0.01654322266269002,0.37939698492462315,0.025125628140703515,0.34673366834170855,0.4020100502512563
5_to_10min,5.0,10.0,VIS320,VIS320,pump_on,Pump on,VIS_ON_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\VIS320_Pump_Run_2,VIS_PUMP,center_of_mass_depth,Center-of-Mass Depth,30,0.1838786087002715,0.004129499476969654,0.1834547530111882,0.004749135980355229,0.17544605776208136,0.19481758124484774
5_to_10min,5.0,10.0,VIS320,VIS320,pump_on,Pump on,VIS_ON_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\VIS320_Pump_Run_2,VIS_PUMP,deep_tail_fraction,Deep-Tail Fraction,30,0.0319357050658275,0.003689276599877274,0.03197906387756658,0.0035511487910122666,0.02374613705615994,0.039042971639962155
5_to_10min,5.0,10.0,VIS320,VIS320,pump_on,Pump on,VIS_ON_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\VIS320_Pump_Run_2,VIS_PUMP,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,30,0.408040201005025,0.015127271622692891,0.40452261306532666,0.022613065326633153,0.38190954773869346,0.4371859296482412
10_to_20min,10.0,20.0,VIS320,VIS320,pump_off,Pump off,VIS_OFF_LEGACY,C:\Users\brend\OneDrive - University of Toronto\VS Code Files\Results\Results_Paper_1\VIS320_Swollen_No_Pressure_135kvp,VIS_320,center_of_mass_depth,Center-of-Mass Depth,60,0.19066103217466843,0.011371213834152037,0.1912116731853772,0.02123141546584248,0.16993256969500337,0.21051367813677796
