tracer_name,tracer_label,sample_id,run_display,selection_mode,roi_folder,roi_prefix,dx_mm,metric_key,metric_label,window_name,window_min_time_min,window_max_time_min,n_points,center_mean,center_std,fixed_std_mean,combined_std_mean,fixed_ci_width_mean,combined_ci_width_mean
GAD,GAD,GAD_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_1,analysis_config,GAD,GAD,0.166,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),post_5min,5.0,,61,0.0007957335635992672,0.00010696823400480167,4.762855023929391e-05,0.00012677685894920665,0.0001867039169380295,0.0004969652870810132
GAD,GAD,GAD_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_1,analysis_config,GAD,GAD,0.166,fitted_Cs,"Effective fitted boundary concentration, C$_s$ (mg/mL)",post_5min,5.0,,61,35.143530558465024,0.7650844981953182,0.7129209723498424,4.092955487753899,2.7946502116113816,16.044385511995284
GAD,GAD,GAD_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_1,analysis_config,GAD,GAD,0.166,mean_concentration,Mean concentration (mg/mL),post_5min,5.0,,61,11.444514854449796,1.6278113897737345,0.1767214699472033,1.852619684471618,0.6927481621930369,7.2622691631287415
GAD,GAD,GAD_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_1,analysis_config,GAD,GAD,0.166,mean_diffusive_flux_magnitude,Mean $|J_{diff}|$,post_5min,5.0,,61,0.008927371037908511,0.0011712664974913127,,,,
GAD,GAD,GAD_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_1,analysis_config,GAD,GAD,0.166,profile_fit_r2,Profile-fit $R^2$,post_5min,5.0,,61,0.9948915896700724,0.002785486200215572,,,,
GAD,GAD,GAD_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_1,analysis_config,GAD,GAD,0.166,profile_fit_rmse,Profile-fit RMSE (mg/mL),post_5min,5.0,,61,0.7311382353916915,0.17285719066563313,,,,
GAD,GAD,GAD_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_1,analysis_config,GAD,GAD,0.166,regularized_effective_diffusivity,Temporally regularized effective diffusivity (mm$^2$/s),post_5min,5.0,,61,0.0007957270636202541,0.00010693229742793809,,,,
GAD,GAD,GAD_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_2,analysis_config,GAD,GAD,0.166,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),post_5min,5.0,,60,0.0008234555487747066,0.00013253496127167837,3.94515325671362e-05,0.00014025809427268751,0.000154650007663175,0.0005498117295490916
GAD,GAD,GAD_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_2,analysis_config,GAD,GAD,0.166,fitted_Cs,"Effective fitted boundary concentration, C$_s$ (mg/mL)",post_5min,5.0,,60,44.067643298228056,0.6566820697549578,0.7489635466168265,4.558154937178939,2.93593710273796,17.867967353741438
GAD,GAD,GAD_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_2,analysis_config,GAD,GAD,0.166,mean_concentration,Mean concentration (mg/mL),post_5min,5.0,,60,15.231309178451445,1.897299114577677,0.1615088530838126,2.384445603859084,0.633114704088546,9.347026767127607
