window_name,window_min_time_min,window_max_time_min,tracer_name,tracer_label,metric_key,metric_label,sample_count,sample_mean_mean,sample_mean_sd,sample_mean_sem,sample_center_std_mean,sample_fixed_std_mean,sample_combined_std_mean,sample_n_points_total
post_5min,5.0,,GAD,GAD,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),3,0.0008115120338721447,1.4253325139631685e-05,8.229161106213614e-06,0.00011985816043023289,3.997072818816694e-05,0.0001411558377372609,182
post_5min,5.0,,GAD,GAD,fitted_Cs,"Effective fitted boundary concentration, C$_s$ (mg/mL)",3,39.22970913654505,4.509301430499953,2.6034463947563125,0.5970810302116871,0.6729376154949862,4.06854622478457,182
post_5min,5.0,,GAD,GAD,mean_concentration,Mean concentration (mg/mL),3,12.990733421502185,1.986592998941626,1.1469600027091738,1.7374584804584299,0.16261052384385916,2.069301251651906,182
post_5min,5.0,,GAD,GAD,mean_diffusive_flux_magnitude,Mean $|J_{diff}|$,3,0.010248817393680493,0.001564264112122963,0.0009031283062178637,0.0015488284787500953,,,182
post_5min,5.0,,GAD,GAD,profile_fit_r2,Profile-fit $R^2$,3,0.9963261778747414,0.001461154302355043,0.000843597829792264,0.0016885299437095058,,,182
post_5min,5.0,,GAD,GAD,profile_fit_rmse,Profile-fit RMSE (mg/mL),3,0.694370596794283,0.1265000896666777,0.07303486082156817,0.14170295399880814,,,182
post_5min,5.0,,GAD,GAD,regularized_effective_diffusivity,Temporally regularized effective diffusivity (mm$^2$/s),3,0.0008115096548265756,1.4256109301166925e-05,8.230768542625452e-06,0.00011983793602583135,,,182
post_5min,5.0,,VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),3,0.0004005010045023295,2.4023873020225597e-05,1.3870189555204636e-05,7.310308187713855e-05,1.0352329863793781e-05,8.943512962891592e-05,184
post_5min,5.0,,VIS320,VIS 320,fitted_Cs,"Effective fitted boundary concentration, C$_s$ (mg/mL)",3,50.916709908499634,1.2147451660118893,0.701333448593761,1.797709737083342,0.4676755261954635,7.830054121520946,184
post_5min,5.0,,VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),3,12.237284508781393,0.9413388679651129,0.5434822488183155,1.8716779772196144,0.08492336373025393,2.8438773928826873,184
post_5min,5.0,,VIS320,VIS 320,mean_diffusive_flux_magnitude,Mean $|J_{diff}|$,3,0.006929204624375678,0.0007079506084368775,0.0004087354743539906,0.0011142324466854273,,,184
post_5min,5.0,,VIS320,VIS 320,profile_fit_r2,Profile-fit $R^2$,3,0.9990007406038842,0.000758898923777026,0.0004381504979303833,0.0003123642386447574,,,184
post_5min,5.0,,VIS320,VIS 320,profile_fit_rmse,Profile-fit RMSE (mg/mL),3,0.466061451272745,0.17976333945319067,0.10378641242372572,0.0938558845766496,,,184
post_5min,5.0,,VIS320,VIS 320,regularized_effective_diffusivity,Temporally regularized effective diffusivity (mm$^2$/s),3,0.00040050102734265624,2.402354034232411e-05,1.3869997483528661e-05,7.310266879615125e-05,,,184
